2025-08-03 00:06:36.267 | WARNING  | __main__:main:212 - 
No valid ouput directory path was given!!!
All results will be printed here and will NOT be saved!!!
2025-08-03 00:06:40.954 | WARNING  | __main__:load_rectangle_json:63 - The inputs in this rectangle_122.json file are corrupted!!!
2025-08-03 00:06:40.954 | WARNING  | __main__:_SingleInput_WorkFlow:157 - Detected valid inputs in rectangle_1.json, prioritize them for calculation.
2025-08-03 00:06:40.954 | WARNING  | __main__:_SingleInput_WorkFlow:157 - Detected valid inputs in rectangle_134.json, prioritize them for calculation.
2025-08-03 00:06:40.954 | WARNING  | __main__:_SingleInput_WorkFlow:157 - Detected valid inputs in rectangle_110.json, prioritize them for calculation.
2025-08-03 00:06:40.955 | WARNING  | __main__:_SingleInput_WorkFlow:157 - Detected valid inputs in rectangle_122.json, prioritize them for calculation.
2025-08-03 00:06:40.955 | WARNING  | __main__:_SingleInput_WorkFlow:157 - Detected valid inputs in rectangle_111.json, prioritize them for calculation.
2025-08-03 00:06:40.955 | WARNING  | __main__:_SingleInput_WorkFlow:157 - Detected valid inputs in rectangle_135.json, prioritize them for calculation.
2025-08-03 00:06:40.955 | WARNING  | __main__:_SingleInput_WorkFlow:157 - Detected valid inputs in rectangle_123.json, prioritize them for calculation.
2025-08-03 00:06:40.955 | WARNING  | __main__:_SingleInput_WorkFlow:157 - Detected valid inputs in rectangle_10.json, prioritize them for calculation.
2025-08-03 00:06:40.955 | WARNING  | __main__:_SingleInput_WorkFlow:157 - Detected valid inputs in rectangle_136.json, prioritize them for calculation.
2025-08-03 00:06:40.955 | WARNING  | __main__:_SingleInput_WorkFlow:157 - Detected valid inputs in rectangle_100.json, prioritize them for calculation.
2025-08-03 00:06:40.955 | WARNING  | __main__:_SingleInput_WorkFlow:157 - Detected valid inputs in rectangle_137.json, prioritize them for calculation.
2025-08-03 00:06:40.955 | WARNING  | __main__:_SingleInput_WorkFlow:157 - Detected valid inputs in rectangle_124.json, prioritize them for calculation.
2025-08-03 00:06:40.955 | WARNING  | __main__:_SingleInput_WorkFlow:157 - Detected valid inputs in rectangle_112.json, prioritize them for calculation.
2025-08-03 00:06:40.956 | WARNING  | __main__:_SingleInput_WorkFlow:157 - Detected valid inputs in rectangle_138.json, prioritize them for calculation.
2025-08-03 00:06:40.956 | WARNING  | __main__:_SingleInput_WorkFlow:157 - Detected valid inputs in rectangle_125.json, prioritize them for calculation.
2025-08-03 00:06:40.956 | WARNING  | __main__:_SingleInput_WorkFlow:157 - Detected valid inputs in rectangle_101.json, prioritize them for calculation.
2025-08-03 00:06:40.956 | WARNING  | __main__:_SingleInput_WorkFlow:157 - Detected valid inputs in rectangle_113.json, prioritize them for calculation.
2025-08-03 00:06:40.956 | WARNING  | __main__:load_rectangle_json:63 - The inputs in this rectangle_139.json file are corrupted!!!
2025-08-03 00:06:40.956 | WARNING  | __main__:_SingleInput_WorkFlow:157 - Detected valid inputs in rectangle_126.json, prioritize them for calculation.
2025-08-03 00:06:40.956 | WARNING  | __main__:_SingleInput_WorkFlow:157 - Detected valid inputs in rectangle_139.json, prioritize them for calculation.
2025-08-03 00:06:40.956 | WARNING  | __main__:_SingleInput_WorkFlow:157 - Detected valid inputs in rectangle_127.json, prioritize them for calculation.
2025-08-03 00:06:40.956 | WARNING  | __main__:_SingleInput_WorkFlow:157 - Detected valid inputs in rectangle_114.json, prioritize them for calculation.
2025-08-03 00:06:40.956 | WARNING  | __main__:_SingleInput_WorkFlow:157 - Detected valid inputs in rectangle_14.json, prioritize them for calculation.
2025-08-03 00:06:40.956 | WARNING  | __main__:_SingleInput_WorkFlow:157 - Detected valid inputs in rectangle_128.json, prioritize them for calculation.
2025-08-03 00:06:40.956 | WARNING  | __main__:_SingleInput_WorkFlow:157 - Detected valid inputs in rectangle_102.json, prioritize them for calculation.
2025-08-03 00:06:40.956 | WARNING  | __main__:_SingleInput_WorkFlow:157 - Detected valid inputs in rectangle_115.json, prioritize them for calculation.
2025-08-03 00:06:40.956 | WARNING  | __main__:load_rectangle_json:63 - The inputs in this rectangle_140.json file are corrupted!!!
2025-08-03 00:06:40.956 | WARNING  | __main__:_SingleInput_WorkFlow:157 - Detected valid inputs in rectangle_140.json, prioritize them for calculation.
2025-08-03 00:06:40.956 | WARNING  | __main__:_SingleInput_WorkFlow:157 - Detected valid inputs in rectangle_129.json, prioritize them for calculation.
2025-08-03 00:06:40.956 | WARNING  | __main__:load_rectangle_json:63 - The inputs in this rectangle_116.json file are corrupted!!!
2025-08-03 00:06:40.956 | WARNING  | __main__:_SingleInput_WorkFlow:157 - Detected valid inputs in rectangle_141.json, prioritize them for calculation.
2025-08-03 00:06:40.956 | WARNING  | __main__:load_rectangle_json:63 - The inputs in this rectangle_13.json file are corrupted!!!
2025-08-03 00:06:40.956 | WARNING  | __main__:_SingleInput_WorkFlow:157 - Detected valid inputs in rectangle_116.json, prioritize them for calculation.
2025-08-03 00:06:40.956 | WARNING  | __main__:_SingleInput_WorkFlow:157 - Detected valid inputs in rectangle_13.json, prioritize them for calculation.
2025-08-03 00:06:40.956 | WARNING  | __main__:_SingleInput_WorkFlow:157 - Detected valid inputs in rectangle_142.json, prioritize them for calculation.
2025-08-03 00:06:40.956 | WARNING  | __main__:_SingleInput_WorkFlow:157 - Detected valid inputs in rectangle_103.json, prioritize them for calculation.
2025-08-03 00:06:40.956 | WARNING  | __main__:load_rectangle_json:63 - The inputs in this rectangle_117.json file are corrupted!!!
2025-08-03 00:06:40.956 | WARNING  | __main__:_SingleInput_WorkFlow:157 - Detected valid inputs in rectangle_130.json, prioritize them for calculation.
2025-08-03 00:06:40.956 | WARNING  | __main__:_SingleInput_WorkFlow:157 - Detected valid inputs in rectangle_117.json, prioritize them for calculation.
2025-08-03 00:06:40.956 | WARNING  | __main__:_SingleInput_WorkFlow:157 - Detected valid inputs in rectangle_143.json, prioritize them for calculation.
2025-08-03 00:06:40.957 | WARNING  | __main__:_SingleInput_WorkFlow:157 - Detected valid inputs in rectangle_131.json, prioritize them for calculation.
2025-08-03 00:06:40.957 | WARNING  | __main__:_SingleInput_WorkFlow:157 - Detected valid inputs in rectangle_118.json, prioritize them for calculation.
2025-08-03 00:06:40.957 | WARNING  | __main__:_SingleInput_WorkFlow:157 - Detected valid inputs in rectangle_104.json, prioritize them for calculation.
2025-08-03 00:06:40.957 | WARNING  | __main__:_SingleInput_WorkFlow:157 - Detected valid inputs in rectangle_144.json, prioritize them for calculation.
2025-08-03 00:06:40.957 | WARNING  | __main__:_SingleInput_WorkFlow:157 - Detected valid inputs in rectangle_132.json, prioritize them for calculation.
2025-08-03 00:06:40.957 | WARNING  | __main__:_SingleInput_WorkFlow:157 - Detected valid inputs in rectangle_119.json, prioritize them for calculation.
2025-08-03 00:06:40.957 | WARNING  | __main__:_SingleInput_WorkFlow:157 - Detected valid inputs in rectangle_145.json, prioritize them for calculation.
2025-08-03 00:06:40.957 | WARNING  | __main__:_SingleInput_WorkFlow:157 - Detected valid inputs in rectangle_105.json, prioritize them for calculation.
2025-08-03 00:06:40.957 | WARNING  | __main__:load_rectangle_json:63 - The inputs in this rectangle_133.json file are corrupted!!!
2025-08-03 00:06:40.957 | WARNING  | __main__:_SingleInput_WorkFlow:157 - Detected valid inputs in rectangle_12.json, prioritize them for calculation.
2025-08-03 00:06:40.957 | WARNING  | __main__:_SingleInput_WorkFlow:157 - Detected valid inputs in rectangle_133.json, prioritize them for calculation.
2025-08-03 00:06:40.957 | WARNING  | __main__:_SingleInput_WorkFlow:157 - Detected valid inputs in rectangle_120.json, prioritize them for calculation.
2025-08-03 00:06:40.957 | WARNING  | __main__:_SingleInput_WorkFlow:157 - Detected valid inputs in rectangle_106.json, prioritize them for calculation.
